"county_id","coname","district_id","distname","enroll_line_no","enroll_cat","amount_1","amount_2","amount_3"
01,"Atlantic",0010,"Absecon City",11,"Onroll (Full)",820.0,806.0,778.0
01,"Atlantic",0010,"Absecon City",21,"Onroll (SpEd Full)",147.0,151.0,142.0
01,"Atlantic",0010,"Absecon City",40,"Sent Private School",2.0,2.0,3.0
01,"Atlantic",0010,"Absecon City",51,"Sent Oth Dist Reg",38.0,25.0,58.0
01,"Atlantic",0010,"Absecon City",52,"Sent Oth Dist SpEd",21.0,22.0,33.0
01,"Atlantic",0010,"Absecon City",60,"Received Oth Dist",2.0,4.0,0.0
01,"Atlantic",0010,"Absecon City",70,"State Facilities",2.0,4.0,4.0
01,"Atlantic",0110,"Atlantic City",11,"Onroll (Full)",5779.0,5744.0,5637.0
01,"Atlantic",0110,"Atlantic City",21,"Onroll (SpEd Full)",887.0,937.0,874.0
01,"Atlantic",0110,"Atlantic City",40,"Sent Private School",14.0,15.0,15.0
01,"Atlantic",0110,"Atlantic City",50,"Sent Contract Presch",0,71.0,0.0
01,"Atlantic",0110,"Atlantic City",51,"Sent Oth Dist Reg",26.0,24.0,88.0
01,"Atlantic",0110,"Atlantic City",52,"Sent Oth Dist SpEd",79.0,78.0,78.0
01,"Atlantic",0110,"Atlantic City",60,"Received Oth Dist",167.0,163.0,166.0
01,"Atlantic",0110,"Atlantic City",70,"State Facilities",37.0,58.0,58.0
01,"Atlantic",0120,"Atlantic Co Vocational",11,"Onroll (Full)",1669.0,1693.0,1957.0
01,"Atlantic",0120,"Atlantic Co Vocational",21,"Onroll (SpEd Full)",154.0,159.0,75.0
01,"Atlantic",0125,"Atlantic Co Special Serv",21,"Onroll (SpEd Full)",317.0,341.0,360.0
01,"Atlantic",0570,"Brigantine City",11,"Onroll (Full)",342.0,332.0,332.0
01,"Atlantic",0570,"Brigantine City",21,"Onroll (SpEd Full)",55.0,57.0,57.0
