"county_id","county_name","district_id","district_name","line_desc","year_1","year_2","year_3","year_4","year_5"
01,"Atlantic",0010,"Absecon City","Total Budgetary Comparative Per Pupil Cost",15676,17304,22164,21603,22157
01,"Atlantic",0010,"Absecon City","Total Classroom Instruction",9712,10630,13427,12697,12786
01,"Atlantic",0010,"Absecon City","Classroom-Salaries and Benefits",9305,10217,12637,11822,12113
01,"Atlantic",0010,"Absecon City","Classroom-General Supplies and Textbooks",357,361,674,755,582
01,"Atlantic",0010,"Absecon City","Classroom-Purchased Services",49,52,116,120,92
01,"Atlantic",0010,"Absecon City","Total Support Services",3111,3378,4273,4195,4379
01,"Atlantic",0010,"Absecon City","Support Services-Salaries and Benefits",2908,3235,3617,3537,4091
01,"Atlantic",0010,"Absecon City","Total Administrative Costs",1534,1736,2216,2389,2244
01,"Atlantic",0010,"Absecon City","Administration Salaries and Benefits",1216,1365,1428,1563,1530
01,"Atlantic",0010,"Absecon City","Total Operations and Maintenance of Plant",1117,1282,1883,1973,2346
01,"Atlantic",0010,"Absecon City","Operations and Maintenance-Salaries and Benefits",426,540,829,806,1079
01,"Atlantic",0010,"Absecon City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0010,"Absecon City","Total Extracurricular Costs",104,137,167,163,199
01,"Atlantic",0010,"Absecon City","Total Equipment Costs",213,43,118,399,81
01,"Atlantic",0010,"Absecon City","Legal Costs",44,82,196,193,197
01,"Atlantic",0010,"Absecon City","Employee Benefits as a percentage of salaries","27.94%","29.55%","32.59%","31.27%","31.05%"
01,"Atlantic",0110,"Atlantic City","Total Budgetary Comparative Per Pupil Cost",21198,21641,28029,28290,29276
01,"Atlantic",0110,"Atlantic City","Total Classroom Instruction",14434,13195,17443,17208,18082
01,"Atlantic",0110,"Atlantic City","Classroom-Salaries and Benefits",13004,12003,14186,13940,14429
01,"Atlantic",0110,"Atlantic City","Classroom-General Supplies and Textbooks",410,416,859,1012,1190
01,"Atlantic",0110,"Atlantic City","Classroom-Purchased Services",1020,776,2398,2256,2463
01,"Atlantic",0110,"Atlantic City","Total Support Services",2142,2785,3830,3765,4237
01,"Atlantic",0110,"Atlantic City","Support Services-Salaries and Benefits",1870,2447,2851,2759,3159
01,"Atlantic",0110,"Atlantic City","Total Administrative Costs",1780,2262,2560,2627,2596
01,"Atlantic",0110,"Atlantic City","Administration Salaries and Benefits",1310,1722,1852,1820,1872
01,"Atlantic",0110,"Atlantic City","Total Operations and Maintenance of Plant",2643,3132,3829,4345,4027
01,"Atlantic",0110,"Atlantic City","Operations and Maintenance-Salaries and Benefits",1134,1524,1784,1753,1834
01,"Atlantic",0110,"Atlantic City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0110,"Atlantic City","Total Extracurricular Costs",180,234,304,295,299
01,"Atlantic",0110,"Atlantic City","Total Equipment Costs",312,256,273,944,343
01,"Atlantic",0110,"Atlantic City","Legal Costs",116,130,128,126,132
01,"Atlantic",0110,"Atlantic City","Employee Benefits as a percentage of salaries","26.13%","27.68%","30.86%","30.53%","30.89%"
01,"Atlantic",0120,"Atlantic Co Vocational","Total Budgetary Comparative Per Pupil Cost",15564,17174,18007,18056,17988
01,"Atlantic",0120,"Atlantic Co Vocational","Total Classroom Instruction",8307,9337,9702,9683,9569
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-Salaries and Benefits",7926,8540,9244,9170,8902
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-General Supplies and Textbooks",258,681,292,299,469
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-Purchased Services",123,115,166,214,198
01,"Atlantic",0120,"Atlantic Co Vocational","Total Support Services",1882,1918,2216,2206,2128
01,"Atlantic",0120,"Atlantic Co Vocational","Support Services-Salaries and Benefits",1729,1769,1989,1977,1922
01,"Atlantic",0120,"Atlantic Co Vocational","Total Administrative Costs",1820,1982,2237,2267,2227
01,"Atlantic",0120,"Atlantic Co Vocational","Administration Salaries and Benefits",1457,1536,1674,1664,1692
01,"Atlantic",0120,"Atlantic Co Vocational","Total Operations and Maintenance of Plant",2999,3361,3136,3161,3400
01,"Atlantic",0120,"Atlantic Co Vocational","Operations and Maintenance-Salaries and Benefits",1417,1433,1638,1628,1599
01,"Atlantic",0120,"Atlantic Co Vocational","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0120,"Atlantic Co Vocational","Total Extracurricular Costs",523,537,639,663,610
01,"Atlantic",0120,"Atlantic Co Vocational","Total Equipment Costs",69,325,0,0,85
01,"Atlantic",0120,"Atlantic Co Vocational","Legal Costs",20,25,38,38,35
01,"Atlantic",0120,"Atlantic Co Vocational","Employee Benefits as a percentage of salaries","38.45%","36.73%","43.34%","42.98%","44.03%"
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Budgetary Comparative Per Pupil Cost",45919,49188,48747,49570,50249
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Classroom Instruction",22615,25358,25571,26024,26809
01,"Atlantic",0125,"Atlantic Co Special Serv","Classroom-Salaries and Benefits",21069,23443,24295,24565,25112
01,"Atlantic",0125,"Atlantic Co Special Serv","Classroom-General Supplies and Textbooks",462,510,189,298,535
01,"Atlantic",0125,"Atlantic Co Special Serv","Classroom-Purchased Services",1085,1405,1087,1161,1162
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Support Services",10051,10205,10841,10798,11334
01,"Atlantic",0125,"Atlantic Co Special Serv","Support Services-Salaries and Benefits",9568,9862,10503,10445,10864
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Administrative Costs",5786,5960,5443,5756,5341
01,"Atlantic",0125,"Atlantic Co Special Serv","Administration Salaries and Benefits",4071,4067,3743,3763,3684
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Operations and Maintenance of Plant",7337,7536,6760,6861,6641
01,"Atlantic",0125,"Atlantic Co Special Serv","Operations and Maintenance-Salaries and Benefits",3618,3346,3312,3331,3263
01,"Atlantic",0125,"Atlantic Co Special Serv","Board Contribution to Food Services",128,122,117,117,111
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Extracurricular Costs",0,0,0,0,0
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Equipment Costs",560,465,0,0,0
01,"Atlantic",0125,"Atlantic Co Special Serv","Legal Costs",119,162,177,177,168
01,"Atlantic",0125,"Atlantic Co Special Serv","Employee Benefits as a percentage of salaries","37.69%","37.91%","35.53%","35.88%","35.44%"
01,"Atlantic",0570,"Brigantine City","Total Budgetary Comparative Per Pupil Cost",34592,36156,40112,40640,41613
01,"Atlantic",0570,"Brigantine City","Total Classroom Instruction",21147,21562,23595,23770,24556
01,"Atlantic",0570,"Brigantine City","Classroom-Salaries and Benefits",20367,20975,22206,22366,23198
01,"Atlantic",0570,"Brigantine City","Classroom-General Supplies and Textbooks",537,479,1067,1078,1032
01,"Atlantic",0570,"Brigantine City","Classroom-Purchased Services",243,108,322,326,326
01,"Atlantic",0570,"Brigantine City","Total Support Services",5654,6464,7244,7372,7554
01,"Atlantic",0570,"Brigantine City","Support Services-Salaries and Benefits",4619,5003,5391,5505,5831
01,"Atlantic",0570,"Brigantine City","Total Administrative Costs",2338,2324,2504,2652,2649
01,"Atlantic",0570,"Brigantine City","Administration Salaries and Benefits",1799,1738,1810,1950,1900
01,"Atlantic",0570,"Brigantine City","Total Operations and Maintenance of Plant",4999,5229,6138,6210,6183
01,"Atlantic",0570,"Brigantine City","Operations and Maintenance-Salaries and Benefits",2647,2976,3206,3265,3244
01,"Atlantic",0570,"Brigantine City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0570,"Brigantine City","Total Extracurricular Costs",434,536,611,617,642
01,"Atlantic",0570,"Brigantine City","Total Equipment Costs",88,138,223,225,241
01,"Atlantic",0570,"Brigantine City","Legal Costs",23,17,65,59,63
