"county_id","county_name","district_id","district_name","line_no","account","line_desc","amount_1","amount_2","amount_3"
01,"Atlantic",0010,"Absecon City",100,"'10-1210","Local Tax Levy-Base Budget",12152718.00,12152718.00,12395772.00
01,"Atlantic",0010,"Absecon City",114,"'10-121x","Total Tax Levy",12152718.00,12152718.00,12395772.00
01,"Atlantic",0010,"Absecon City",190,"'10-1300","Total Tuition",247292.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",240,"'10-1410","Transportation Fees from Individuals",1915.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",250,"'10-1420-1440","Transportation Fees from Other Local Education Authorities",7200.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",161645.00,2600.00,60000.00
01,"Atlantic",0010,"Absecon City",330,"'10-1XXX","Interest Earned on Maintenance Reserve",0.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",50.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",350,"'10-1XXX","Other Restricted Miscellaneous Revenues / Paycheck Protection Program (Apssds Only)",57582.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",370,"'","Total Revenues from Local Sources",12628402.00,12155338.00,12455792.00
01,"Atlantic",0010,"Absecon City",420,"'10-3121","Categorical Transportation Aid",343882.00,415922.00,498120.00
01,"Atlantic",0010,"Absecon City",430,"'10-3131","Extraordinary Aid",98644.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",440,"'10-3132","Categorical Special Education Aid",756476.00,1045702.00,1414337.00
01,"Atlantic",0010,"Absecon City",460,"'10-3176","Equalization Aid",5495607.00,5495607.00,4830773.00
01,"Atlantic",0010,"Absecon City",470,"'10-3177","Categorical Security Aid",261412.00,354613.00,349259.00
01,"Atlantic",0010,"Absecon City",500,"'10-3XXX","Other State Aids",6794.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",520,"'","Total Revenues from State Sources",6962815.00,7311844.00,7092489.00
01,"Atlantic",0010,"Absecon City",540,"'10-4200","Medicaid Reimbursement",66263.00,50200.00,7938.00
01,"Atlantic",0010,"Absecon City",570,"'","Total Revenues from Federal Sources",66263.00,50200.00,7938.00
01,"Atlantic",0010,"Absecon City",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,1017069.00,1367381.00
01,"Atlantic",0010,"Absecon City",600,"'10-307","Withdrawal from Capital Reserve for Local Share",0.00,0.00,2930233.00
01,"Atlantic",0010,"Absecon City",630,"'10-310","Withdrawal from Maintenance Reserve",0.00,0.00,275000.00
01,"Atlantic",0010,"Absecon City",640,"'10-311","Withdrawal from Tuition Reserve for Tuition Adjustments",0.00,120707.00,117550.00
01,"Atlantic",0010,"Absecon City",710,"'","Adjustment for Prior Year Encumbrances",0.00,91240.00,0.00
01,"Atlantic",0010,"Absecon City",715,"'","Actual Revenues (Over)/Under Expenditures",-1450894.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",720,"'","Total Operating Budget",18206586.00,20746398.00,24246383.00
01,"Atlantic",0010,"Absecon City",737,"'20-1760","Student Activity Fund Revenue",30123.00,20000.00,20000.00
01,"Atlantic",0010,"Absecon City",740,"'20-1XXX","Other Revenue from Local Sources",519.00,16000.00,0.00
01,"Atlantic",0010,"Absecon City",745,"'20-1XXX","Total Revenues from Local Sources",30642.00,36000.00,20000.00
01,"Atlantic",0010,"Absecon City",755,"'20-3218","Preschool Education Aid-Prior Year Carryover",0.00,1099494.00,298686.00
01,"Atlantic",0010,"Absecon City",760,"'20-3218","Preschool Education Aid",2239198.00,2509090.00,2261236.00
01,"Atlantic",0010,"Absecon City",761,"'20-3257","Sda Emergent Needs and Capital Maintenance In School Districts",22827.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",765,"'20-32XX","Other Restricted Entitlements",310134.00,301833.00,185796.00
01,"Atlantic",0010,"Absecon City",770,"'","Total Revenues from State Sources",2572159.00,3910417.00,2745718.00
01,"Atlantic",0010,"Absecon City",775,"'20-4411-4416","Title I",356112.00,343625.00,257719.00
01,"Atlantic",0010,"Absecon City",780,"'20-4451-4455","Title II",40750.00,53008.00,39756.00
01,"Atlantic",0010,"Absecon City",785,"'20-4491-4494","Title III",18520.00,19327.00,14495.00
01,"Atlantic",0010,"Absecon City",790,"'20-4471-4474","Title IV",19074.00,36543.00,27407.00
01,"Atlantic",0010,"Absecon City",805,"'20-4420-4429","I.D.E.A. Part B (Handicapped)",363344.00,379105.00,284329.00
01,"Atlantic",0010,"Absecon City",806,"'20-4541","Arp ESSER Subgrant-Accelerated Learning Coaching and Educator Support Grant",27633.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",807,"'20-4542","Arp ESSER Subgrant-Evidence-Based Summer Learning and Enrichment Activities Grant",8230.00,6387.00,0.00
01,"Atlantic",0010,"Absecon City",808,"'20-4543","Arp ESSER Subgrant-Evidence-Based Comprehensive Beyond the School Day Activities Grant",16532.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",814,"'20-4540","Arp-ESSER",369328.00,54419.00,0.00
01,"Atlantic",0010,"Absecon City",825,"'20-4XXX","Other",0.00,10481.00,7861.00
01,"Atlantic",0010,"Absecon City",827,"'20-4537","Additional Or Compensatory Special Education and Related Services (Acsers)",17500.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",829,"'20-4546","Arp Homeless Children and Youth II Grant",4449.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",830,"'","Total Revenues from Federal Sources",1241472.00,902895.00,631567.00
01,"Atlantic",0010,"Absecon City",835,"'20-5200","Transfers from Operating Budget-Pre-Kindergartenindergarten",114288.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",836,"'20-5200","Transfers from Operating Budget-Pre-Kindergartenindergarten (Special Education)",0.00,211610.00,281790.00
01,"Atlantic",0010,"Absecon City",837,"'","Actual Revenues (Over)/Under Expenditures-Student Activity Fund",-3465.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",840,"'","Total Grants and Entitlements",3955096.00,5060922.00,3679075.00
01,"Atlantic",0010,"Absecon City",860,"'40-1210","Local Tax Levy",266576.00,264560.00,262415.00
01,"Atlantic",0010,"Absecon City",865,"'40-1510","Interest on Investments",50.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",875,"'40-1XXX","Miscellaneous",50.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",885,"'","Total Revenues from Local Sources",266626.00,264570.00,262425.00
01,"Atlantic",0010,"Absecon City",890,"'40-3160","Debt Service Aid Type II",137335.00,136293.00,135210.00
01,"Atlantic",0010,"Absecon City",892,"'40-303","Budgeted Fund Balance",0.00,0.00,40.00
01,"Atlantic",0010,"Absecon City",895,"'","Total Local Repayment of Debt",403961.00,400863.00,397675.00
01,"Atlantic",0010,"Absecon City",930,"'","Actual Revenues (Over)/Under Expenditures",-36.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",935,"'","Total Repayment of Debt",403925.00,400863.00,397675.00
01,"Atlantic",0010,"Absecon City",1000,"'","Total Revenues/Sources",22565607.00,26208183.00,28323133.00
01,"Atlantic",0010,"Absecon City",1001,"'20-5200","Deduct Transfer-Transfers from Operating Budget-Pre-Kindergartenindergarten",114288.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",1002,"'20-5200","Deduct Transfer-Transfers from Operating Budget-Pre-Kindergartenindergarten (Special Education)",0.00,211610.00,281790.00
01,"Atlantic",0010,"Absecon City",1010,"'","Total Revenues/Sources Net of Transfers",22451319.00,25996573.00,28041343.00
01,"Atlantic",0110,"Atlantic City",100,"'10-1210","Local Tax Levy-Base Budget",73897025.00,73390550.00,73000000.00
01,"Atlantic",0110,"Atlantic City",114,"'10-121x","Total Tax Levy",73897025.00,73390550.00,73000000.00
01,"Atlantic",0110,"Atlantic City",190,"'10-1300","Total Tuition",4064920.00,3722771.00,2995552.00
01,"Atlantic",0110,"Atlantic City",260,"'10-1910","Rents and Royalties",7110.00,81475.00,81475.00
01,"Atlantic",0110,"Atlantic City",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",1826206.00,150000.00,300000.00
01,"Atlantic",0110,"Atlantic City",330,"'10-1XXX","Interest Earned on Maintenance Reserve",91526.00,50000.00,50000.00
01,"Atlantic",0110,"Atlantic City",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",1203701.00,100000.00,100000.00
01,"Atlantic",0110,"Atlantic City",370,"'","Total Revenues from Local Sources",81090488.00,77494796.00,76527027.00
01,"Atlantic",0110,"Atlantic City",410,"'10-3116","School Choice Aid",68673.00,64108.00,57554.00
01,"Atlantic",0110,"Atlantic City",420,"'10-3121","Categorical Transportation Aid",1390702.00,1390702.00,1573229.00
01,"Atlantic",0110,"Atlantic City",430,"'10-3131","Extraordinary Aid",1267044.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",440,"'10-3132","Categorical Special Education Aid",5620334.00,5620334.00,7561742.00
01,"Atlantic",0110,"Atlantic City",460,"'10-3176","Equalization Aid",97365115.00,106780549.00,119159790.00
01,"Atlantic",0110,"Atlantic City",470,"'10-3177","Categorical Security Aid",3248102.00,3248102.00,2960546.00
01,"Atlantic",0110,"Atlantic City",480,"'10-3178","Adjustment Aid",7482500.00,7482500.00,0.00
01,"Atlantic",0110,"Atlantic City",500,"'10-3XXX","Other State Aids",20029575.00,15000000.00,5000000.00
01,"Atlantic",0110,"Atlantic City",520,"'","Total Revenues from State Sources",136472045.00,139586295.00,136312861.00
01,"Atlantic",0110,"Atlantic City",531,"'10-4101","Impact Aid-8002 Or 8003 General",42505.00,41750.00,41750.00
01,"Atlantic",0110,"Atlantic City",540,"'10-4200","Medicaid Reimbursement",0.00,240629.00,22589.00
01,"Atlantic",0110,"Atlantic City",541,"'10-4210","Ffcra/SEMI and ARRA/SEMI Revenue",66988.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",570,"'","Total Revenues from Federal Sources",109493.00,282379.00,64339.00
01,"Atlantic",0110,"Atlantic City",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,19102846.00,26815568.00
01,"Atlantic",0110,"Atlantic City",620,"'10-309","Withdrawal from Capital Reserve for Excess Cost and Other Capital Projects",0.00,20595510.00,49273046.00
01,"Atlantic",0110,"Atlantic City",640,"'10-311","Withdrawal from Tuition Reserve for Tuition Adjustments",0.00,1000000.00,1000000.00
01,"Atlantic",0110,"Atlantic City",700,"'10-5XXX","Other Financing Sources",6025781.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",710,"'","Adjustment for Prior Year Encumbrances",0.00,16304933.00,0.00
01,"Atlantic",0110,"Atlantic City",715,"'","Actual Revenues (Over)/Under Expenditures",-64399390.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",720,"'","Total Operating Budget",159298417.00,274366759.00,289992841.00
01,"Atlantic",0110,"Atlantic City",737,"'20-1760","Student Activity Fund Revenue",277300.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",738,"'20-1770","Scholarship Fund Revenue",363.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",740,"'20-1XXX","Other Revenue from Local Sources",32555.00,22100.00,0.00
01,"Atlantic",0110,"Atlantic City",745,"'20-1XXX","Total Revenues from Local Sources",310218.00,22100.00,0.00
01,"Atlantic",0110,"Atlantic City",755,"'20-3218","Preschool Education Aid-Prior Year Carryover",2396271.00,1678488.00,1854674.00
01,"Atlantic",0110,"Atlantic City",760,"'20-3218","Preschool Education Aid",4625167.00,8167720.00,7497929.00
01,"Atlantic",0110,"Atlantic City",761,"'20-3257","Sda Emergent Needs and Capital Maintenance In School Districts",0.00,467279.00,0.00
01,"Atlantic",0110,"Atlantic City",762,"'20-3212","Nonpublic Teacher Stem Grant",6486.00,18830.00,0.00
01,"Atlantic",0110,"Atlantic City",765,"'20-32XX","Other Restricted Entitlements",88259.00,104885.00,92971.00
01,"Atlantic",0110,"Atlantic City",770,"'","Total Revenues from State Sources",7116183.00,10437202.00,9445574.00
01,"Atlantic",0110,"Atlantic City",775,"'20-4411-4416","Title I",6613804.00,8786329.00,6267416.00
01,"Atlantic",0110,"Atlantic City",780,"'20-4451-4455","Title II",241979.00,879022.00,333650.00
01,"Atlantic",0110,"Atlantic City",785,"'20-4491-4494","Title III",223665.00,399144.00,213312.00
01,"Atlantic",0110,"Atlantic City",790,"'20-4471-4474","Title IV",477590.00,517869.00,414913.00
01,"Atlantic",0110,"Atlantic City",803,"'20-4409","Arp-Idea Preschool",7212.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",804,"'20-4419","Arp-Idea Basic",5000.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",805,"'20-4420-4429","I.D.E.A. Part B (Handicapped)",1481063.00,2803057.00,1634646.00
01,"Atlantic",0110,"Atlantic City",806,"'20-4541","Arp ESSER Subgrant-Accelerated Learning Coaching and Educator Support Grant",104588.00,647506.00,0.00
